month,product_id,active_clients,transaction_volume,arr,implementation_cost,support_cost,development_cost,gross_margin_rate,churn_risk,uptime_rate,backlog_defects,hipaa_incidents,sales_pipeline,net_revenue_retention
2025-06,HPA-001,31,690814,16908693.98,808375.86,523741.74,109273.14,0.738,0.141,0.9896,8,0,8602901.45,0.985
2025-07,HPA-001,30,479209,17707126.68,995515.35,330245.16,184943.53,0.744,0.116,0.9953,7,0,3845039.0,0.961
2025-08,HPA-001,34,629958,18426867.28,751391.35,217541.63,140076.72,0.744,0.083,0.9845,4,0,7878731.81,0.95
2025-09,HPA-001,34,527566,18917541.7,1224617.89,596621.52,139016.9,0.746,0.108,0.9951,4,1,4987457.64,0.956
2025-10,HPA-001,32,541784,19133227.09,504805.75,326967.05,105418.85,0.767,0.124,0.9883,10,0,7366865.14,0.956
2025-11,HPA-001,34,448726,19940771.96,880257.76,483676.92,167645.18,0.752,0.13,0.9911,9,1,9494347.45,0.996
2025-12,HPA-001,38,826817,20283812.17,500196.04,256989.15,116895.36,0.763,0.102,0.9727,4,0,5603554.95,0.955
2026-01,HPA-001,38,868567,20281040.37,976969.92,420734.21,140272.15,0.737,0.099,0.9742,4,0,10256267.61,0.98
2026-02,HPA-001,36,450499,20800293.98,889683.13,428349.56,187754.31,0.732,0.107,0.9845,11,0,10498744.84,0.942
2026-03,HPA-001,38,480799,21378235.8,870698.68,476551.08,123468.56,0.757,0.134,0.9931,5,0,10274169.61,0.978
2026-04,HPA-001,40,402140,21494952.46,970817.06,512377.57,150236.03,0.712,0.136,0.9796,7,0,10027180.4,0.992
2026-05,HPA-001,38,393705,21801567.02,479762.67,291476.88,115379.39,0.711,0.148,0.9952,5,0,6406025.46,0.957
2025-06,HPA-002,37,748522,18375699.47,755158.88,530138.84,139398.55,0.601,0.118,0.9731,12,0,7862960.42,0.977
2025-07,HPA-002,40,956684,19120054.79,1116289.13,488542.52,134777.11,0.627,0.129,0.9882,10,0,4836676.56,0.985
2025-08,HPA-002,38,837188,19638586.17,1106655.76,634600.2,151290.4,0.625,0.118,0.9932,6,1,4338343.56,1.011
2025-09,HPA-002,41,410712,20282295.98,506496.63,313670.83,125125.32,0.659,0.129,0.9936,6,0,4045925.57,0.96
2025-10,HPA-002,41,719808,20666538.89,763581.57,356487.81,173410.61,0.648,0.112,0.9791,0,0,10509933.1,0.961
2025-11,HPA-002,43,781332,21168789.09,1357317.81,724004.2,104456.45,0.641,0.108,0.9852,10,0,7561031.18,0.994
2025-12,HPA-002,47,746968,21323149.94,1749107.79,777573.12,147018.86,0.627,0.111,0.9887,9,0,6326353.97,0.998
2026-01,HPA-002,42,787092,21599980.88,954356.85,285111.01,187957.25,0.612,0.162,0.9806,7,0,9183533.7,0.989
2026-02,HPA-002,47,825733,22076630.83,1632664.52,353651.0,168760.94,0.633,0.114,0.9938,0,0,6113066.39,1.008
2026-03,HPA-002,44,413264,22857596.04,615672.55,459514.57,151615.71,0.624,0.126,0.9836,16,0,7494041.75,0.999
2026-04,HPA-002,45,694654,22671537.85,686634.51,317243.61,149569.61,0.637,0.117,0.9952,5,0,9696352.05,0.982
2026-05,HPA-002,48,628073,23224629.08,816222.36,820948.28,182347.02,0.598,0.151,0.9794,10,0,4817692.04,0.981
2025-06,HPA-003,15,152064,7494222.95,219480.77,94815.54,203570.9,0.561,0.166,0.9778,7,0,2521042.25,0.947
2025-07,HPA-003,17,280139,7947621.38,427043.17,221350.59,140258.02,0.564,0.14,0.9845,7,0,3232018.22,0.941
2025-08,HPA-003,18,190663,8398716.08,574069.03,230354.64,187975.96,0.538,0.135,0.9891,7,0,4129924.44,0.92
2025-09,HPA-003,20,460320,8860436.63,756633.07,363248.65,140733.21,0.554,0.13,0.9943,8,0,3296158.12,0.947
2025-10,HPA-003,17,199336,9199865.82,234658.08,168170.89,184943.49,0.575,0.188,0.9778,10,0,4259928.18,0.945
2025-11,HPA-003,18,303244,9542201.73,488354.58,142864.49,212354.32,0.574,0.165,0.9768,6,0,2859582.81,0.949
2025-12,HPA-003,20,432553,9693923.14,568998.35,160116.96,220105.23,0.584,0.159,0.9792,8,0,4480857.27,0.931
2026-01,HPA-003,19,190619,9886380.5,408885.49,121668.28,222896.14,0.58,0.18,0.982,2,0,2728569.86,0.901
2026-02,HPA-003,19,242412,10414090.46,246401.69,270455.61,200026.92,0.567,0.182,0.9781,8,0,3319138.86,0.901
2026-03,HPA-003,20,340022,10738785.53,321037.06,317745.25,153696.13,0.532,0.21,0.9881,4,0,2584136.86,0.899
2026-04,HPA-003,22,367783,10843347.21,650388.43,190797.66,202964.36,0.562,0.155,0.9838,6,0,3604133.74,0.921
2026-05,HPA-003,23,266087,11078740.27,562164.46,342507.36,242215.39,0.54,0.2,0.9851,4,0,4067418.51,0.894
2025-06,HPA-004,9,117694,3947536.02,159667.87,103565.27,229581.07,0.466,0.176,0.9953,0,0,1763935.27,0.921
2025-07,HPA-004,7,136265,4156983.06,250423.74,97621.08,205674.63,0.507,0.195,0.9764,17,0,891921.41,0.927
2025-08,HPA-004,10,108465,4328937.94,145571.92,135190.52,238026.44,0.491,0.169,0.9843,7,0,1214147.49,0.916
2025-09,HPA-004,9,117596,4380870.1,212995.8,72420.41,188418.03,0.5,0.182,0.9789,12,0,2170425.37,0.941
2025-10,HPA-004,8,202700,4573651.41,100205.4,143929.52,161971.58,0.49,0.189,0.982,8,0,1767907.8,0.934
2025-11,HPA-004,9,125178,4579328.06,162147.31,131950.79,247769.27,0.489,0.212,0.9755,4,1,2121375.8,0.963
2025-12,HPA-004,10,119077,4704795.61,348756.2,162093.85,155432.88,0.504,0.154,0.9725,8,0,1044283.42,0.955
2026-01,HPA-004,11,107949,4843462.09,182989.35,127961.03,273909.74,0.513,0.216,0.9766,13,0,1940414.79,0.958
2026-02,HPA-004,12,147504,5005836.72,361412.79,122391.05,240932.32,0.481,0.205,0.9847,7,0,1638788.07,0.936
2026-03,HPA-004,13,233392,5123920.6,230728.63,188286.55,216878.14,0.476,0.202,0.9771,15,0,2054548.89,0.929
2026-04,HPA-004,13,164509,5171019.37,489138.41,137457.86,219237.92,0.483,0.157,0.9773,13,0,1740288.83,0.928
2026-05,HPA-004,13,192938,5170731.92,369076.18,151580.5,243154.74,0.461,0.182,0.9738,13,0,1142140.19,0.949
2025-06,HPA-005,30,341327,28546365.6,757209.8,332270.99,153051.72,0.598,0.174,0.99,3,0,5272227.68,0.932
2025-07,HPA-005,36,375989,29005772.82,1178233.51,445640.57,112670.8,0.589,0.171,0.9763,1,0,13466148.98,0.905
2025-08,HPA-005,32,426067,29907302.58,1083200.94,450787.41,184528.12,0.628,0.108,0.9942,2,0,9513464.68,0.932
2025-09,HPA-005,35,280652,30505922.84,1089562.13,464974.27,167161.11,0.647,0.175,0.9753,5,0,10532840.46,0.915
2025-10,HPA-005,38,734264,31196269.1,1375104.82,612799.82,184912.75,0.621,0.117,0.9955,4,0,13327790.73,0.939
2025-11,HPA-005,38,669984,32362814.37,1026667.21,676014.66,137418.05,0.611,0.129,0.9822,8,0,6678954.02,0.931
2025-12,HPA-005,36,431049,32705755.87,1257657.28,370178.36,180487.5,0.613,0.156,0.9781,15,0,14428836.75,0.89
2026-01,HPA-005,39,488088,33237239.45,541847.75,330484.83,189344.71,0.616,0.179,0.9904,8,0,10327563.08,0.901
2026-02,HPA-005,38,750517,33980058.56,1056199.96,281983.36,140720.75,0.64,0.137,0.996,0,0,13431089.34,0.945
2026-03,HPA-005,41,775934,35193024.53,1428355.23,469420.3,124261.88,0.604,0.162,0.9831,8,0,8199958.34,0.939
2026-04,HPA-005,42,495158,35229368.13,1427457.44,463188.74,133312.83,0.625,0.173,0.9867,11,0,12103058.63,0.931
2026-05,HPA-005,42,734461,35903364.61,1432782.12,398157.99,111272.83,0.601,0.14,0.9839,8,0,8524644.58,0.894
2025-06,HPA-006,42,840576,28562864.68,723931.11,406224.38,108909.74,0.727,0.133,0.9896,2,0,14646156.04,1.006
2025-07,HPA-006,40,397939,29977070.32,1260161.28,637728.49,110471.35,0.769,0.093,0.9934,2,0,9726188.76,0.966
2025-08,HPA-006,46,536048,30849252.42,1444129.78,753822.16,142934.02,0.763,0.086,0.9728,11,0,15252248.47,0.988
2025-09,HPA-006,43,774818,31003161.01,1580518.51,497539.67,149321.71,0.739,0.105,0.9879,10,0,11869904.53,0.988
2025-10,HPA-006,47,606071,31892299.79,1495030.96,689865.48,161743.07,0.757,0.105,0.9858,8,0,15118783.12,1.004
2025-11,HPA-006,48,1056094,32735346.32,1431926.77,466695.04,183596.03,0.769,0.123,0.9939,7,0,9687322.96,0.988
2025-12,HPA-006,48,1022543,34379432.82,1587708.41,364826.38,126788.76,0.783,0.092,0.9942,1,0,11086911.91,0.995
2026-01,HPA-006,52,1001233,35029097.41,1513401.79,614589.64,126725.18,0.767,0.083,0.9922,8,0,10948801.84,0.998
2026-02,HPA-006,53,963327,35271202.47,982763.98,668682.72,124724.18,0.742,0.067,0.974,7,0,11582489.53,0.96
2026-03,HPA-006,52,1299593,35753614.79,1664908.59,638596.08,118750.67,0.743,0.13,0.9804,10,0,11735467.76,1.009
2026-04,HPA-006,50,889561,36105135.29,1490955.47,728169.41,110201.08,0.745,0.118,0.9803,7,0,15338970.57,0.99
2026-05,HPA-006,54,1097240,36785018.14,1771526.06,556735.39,124101.05,0.732,0.124,0.9957,9,0,12998262.13,0.982
2025-06,HPA-007,5,113594,4601409.32,85406.13,87675.74,267371.22,0.521,0.203,0.9899,7,0,1380222.37,0.948
2025-07,HPA-007,8,80415,4683362.36,131889.85,138796.22,193032.03,0.483,0.152,0.9759,9,0,1952187.84,0.981
2025-08,HPA-007,9,124056,4758815.25,177128.32,161465.49,213461.35,0.516,0.194,0.9851,14,0,894914.03,0.969
2025-09,HPA-007,10,174134,5024130.04,188080.08,90737.1,211471.48,0.542,0.172,0.9724,14,0,1531869.1,0.958
2025-10,HPA-007,6,44586,5171431.53,85767.68,42696.96,182863.76,0.542,0.138,0.9728,10,0,1185295.1,0.95
2025-11,HPA-007,8,163952,5374509.17,267904.69,81117.77,191029.83,0.503,0.168,0.9861,5,0,1101199.69,0.948
2025-12,HPA-007,9,212976,5475087.59,99545.44,135438.54,178874.56,0.512,0.184,0.9782,13,0,2062624.63,0.949
2026-01,HPA-007,6,118846,5522574.16,115803.71,85128.56,196262.58,0.515,0.21,0.98,8,0,2445776.36,0.958
2026-02,HPA-007,8,132264,5676575.61,92420.9,147828.86,182865.25,0.495,0.17,0.993,10,0,2493049.58,0.962
2026-03,HPA-007,10,217162,5729453.66,163320.71,159145.34,197950.43,0.482,0.173,0.9917,5,0,2190123.87,0.947
2026-04,HPA-007,8,183254,5938365.73,159041.2,99332.35,234643.85,0.491,0.15,0.9819,8,0,2998170.15,0.984
2026-05,HPA-007,9,130696,5906879.38,252733.37,131770.32,171761.41,0.501,0.186,0.9872,9,0,1228567.46,0.985
2025-06,HPA-008,16,182380,9619002.12,482161.48,254866.85,238657.4,0.647,0.132,0.9777,7,0,2453762.18,1.002
2025-07,HPA-008,16,152250,10435757.34,251622.03,189849.72,134782.2,0.664,0.16,0.9885,11,0,3643146.18,0.989
2025-08,HPA-008,14,331995,10543102.92,244311.81,150959.28,219717.51,0.673,0.091,0.9913,14,0,4962028.1,0.983
2025-09,HPA-008,17,266488,11030324.61,459245.11,195835.15,170266.16,0.681,0.104,0.9763,4,0,3460562.66,1.0
2025-10,HPA-008,19,474930,11839048.87,608851.95,165439.36,176064.65,0.661,0.117,0.9732,4,0,5166902.39,0.996
2025-11,HPA-008,16,195648,12135877.95,549680.89,245546.13,227318.88,0.687,0.161,0.9845,6,0,4028697.68,0.987
2025-12,HPA-008,18,178791,12544349.94,263325.41,297691.94,188532.27,0.695,0.112,0.9854,11,0,5941493.9,1.006
2026-01,HPA-008,21,390342,12696674.79,442543.77,272302.34,176262.98,0.642,0.121,0.9809,1,0,4501893.72,0.976
2026-02,HPA-008,20,249844,13240870.68,252935.67,236325.97,214117.21,0.663,0.116,0.9833,9,0,5899137.92,1.017
2026-03,HPA-008,21,234615,13457509.81,353594.1,279550.49,159691.71,0.648,0.17,0.983,15,0,3812552.37,1.012
2026-04,HPA-008,21,542607,13973703.13,724089.9,268711.67,220906.47,0.657,0.097,0.9728,6,0,6167958.77,0.987
2026-05,HPA-008,23,469310,14058875.52,532069.22,292183.94,145746.79,0.655,0.118,0.9945,2,0,6943016.98,0.97
2025-06,HPA-009,37,595317,9239422.92,808813.99,561667.79,131317.47,0.596,0.174,0.9753,10,0,2412736.18,0.94
2025-07,HPA-009,43,937934,9497911.42,1409400.57,524571.28,189120.71,0.609,0.137,0.9881,5,0,2159582.23,0.925
2025-08,HPA-009,42,915248,9716622.28,1035873.93,419972.12,172978.29,0.651,0.153,0.986,0,0,3303560.45,0.922
2025-09,HPA-009,43,465720,9885994.62,1476375.76,507171.41,146832.34,0.649,0.126,0.9911,18,0,5134999.55,0.92
2025-10,HPA-009,45,367790,10315717.26,678591.8,371982.51,145411.21,0.647,0.165,0.974,12,0,2327121.4,0.939
2025-11,HPA-009,44,929025,10407211.28,1179747.8,639870.72,108844.03,0.65,0.168,0.9781,10,0,2285924.94,0.903
2025-12,HPA-009,44,674420,10661651.73,783591.62,780768.62,111017.92,0.653,0.1,0.9948,6,0,4134155.39,0.923
2026-01,HPA-009,48,1055134,10974244.52,785448.34,328237.99,143000.97,0.61,0.137,0.9859,8,0,5099098.72,0.939
2026-02,HPA-009,49,921642,10992423.28,1496495.19,341233.43,169489.08,0.641,0.146,0.995,9,0,2353432.95,0.95
2026-03,HPA-009,47,518523,11489258.87,942612.34,322132.31,130577.68,0.603,0.121,0.9845,8,0,2809688.84,0.916
2026-04,HPA-009,50,1012468,11379522.01,709927.83,329864.5,187268.55,0.632,0.14,0.9768,2,0,4511665.47,0.939
2026-05,HPA-009,50,718818,11564370.21,1038024.91,906697.8,167335.02,0.625,0.162,0.9858,6,0,4700793.68,0.914
2025-06,HPA-010,17,232185,4316199.85,616969.3,115683.37,238780.63,0.655,0.144,0.9802,14,0,1952783.13,0.952
2025-07,HPA-010,16,428978,4539608.0,556897.53,121018.39,189879.12,0.678,0.106,0.9891,4,0,1199451.56,0.973
2025-08,HPA-010,15,273729,4844322.81,452991.21,228173.09,156126.06,0.66,0.104,0.9725,9,0,2508248.67,0.991
2025-09,HPA-010,14,274488,4867152.55,463831.14,87348.33,138251.34,0.652,0.1,0.9955,5,0,2507636.02,0.971
2025-10,HPA-010,14,265710,5155663.33,491024.99,209719.0,146428.24,0.647,0.097,0.9824,6,0,1343726.5,0.952
2025-11,HPA-010,17,300485,5413943.93,307950.82,148034.39,223240.57,0.687,0.102,0.9718,11,0,2203013.01,0.946
2025-12,HPA-010,17,274140,5568653.65,284684.43,254803.89,221379.63,0.687,0.131,0.9956,0,0,2645832.12,0.945
2026-01,HPA-010,17,306430,5679725.77,484844.58,227634.94,209129.27,0.664,0.118,0.9923,13,0,1861921.4,0.941
2026-02,HPA-010,17,167145,5927563.55,550070.78,170140.2,203237.03,0.66,0.165,0.9807,8,0,2613041.83,0.984
2026-03,HPA-010,19,177104,6026700.43,620333.04,204651.48,240011.96,0.663,0.135,0.9748,10,0,2697172.36,0.945
2026-04,HPA-010,23,300882,6242035.46,586815.64,327315.29,180648.99,0.666,0.139,0.9911,7,0,1140750.66,0.987
2026-05,HPA-010,20,458218,6383406.22,704709.6,156288.58,193558.36,0.644,0.148,0.9788,10,0,1349778.93,0.954
2025-06,HPA-011,6,135745,2259271.34,96700.21,84354.02,177731.98,0.576,0.144,0.9854,5,0,1007869.56,0.921
2025-07,HPA-011,8,68391,2305333.92,300674.33,65183.28,217054.41,0.593,0.133,0.9825,7,0,541775.09,0.927
2025-08,HPA-011,11,200838,2421707.52,185609.09,93726.34,172989.16,0.586,0.194,0.9836,7,0,753423.05,0.971
2025-09,HPA-011,10,182405,2481820.52,198841.8,151296.82,172144.95,0.605,0.172,0.9928,12,0,639335.86,0.955
2025-10,HPA-011,7,59127,2539842.4,218012.35,109621.07,219123.76,0.586,0.193,0.9886,8,0,725675.91,0.927
2025-11,HPA-011,12,315154,2667121.0,421842.58,135660.22,188541.73,0.579,0.158,0.9934,7,0,1064878.8,0.959
2025-12,HPA-011,9,94191,2642994.68,156526.96,64463.22,187759.83,0.581,0.169,0.9804,7,0,693071.15,0.924
2026-01,HPA-011,9,119811,2698920.29,285073.47,85542.94,222107.04,0.612,0.148,0.9866,3,0,1276213.06,0.931
2026-02,HPA-011,9,200168,2820531.05,241882.7,79921.06,273451.59,0.615,0.165,0.9757,5,0,969222.91,0.933
2026-03,HPA-011,12,152781,2841718.51,229517.48,89805.95,206677.85,0.604,0.185,0.9851,14,1,863930.1,0.926
2026-04,HPA-011,13,230720,2912287.77,354716.9,100709.16,162297.16,0.61,0.181,0.9848,6,0,932613.54,0.927
2026-05,HPA-011,13,210986,2976385.18,349635.61,242741.74,235801.74,0.593,0.123,0.9735,11,0,876339.51,0.949
2025-06,HPA-012,5,60737,931528.25,148409.71,41821.06,114601.12,0.485,0.155,0.9716,14,0,422474.02,0.931
2025-07,HPA-012,2,26878,964094.5,29098.25,17766.97,99533.62,0.465,0.233,0.9955,6,0,433771.91,0.955
2025-08,HPA-012,4,104849,990285.34,85061.36,57584.29,129412.98,0.495,0.157,0.9831,8,0,234045.47,0.958
2025-09,HPA-012,2,14995,1015174.13,25685.21,24946.18,98539.76,0.505,0.205,0.9758,14,0,353401.29,0.942
2025-10,HPA-012,2,37080,1034357.26,46178.06,35813.99,110494.61,0.489,0.196,0.9752,8,0,355090.6,0.905
2025-11,HPA-012,2,28914,1053496.59,63188.78,30729.03,134707.82,0.498,0.222,0.9813,5,0,206599.92,0.91
2025-12,HPA-012,2,32645,1070997.35,75573.17,17655.2,135153.23,0.514,0.175,0.9949,1,0,373717.71,0.94
2026-01,HPA-012,4,76172,1082104.57,81983.04,64388.01,123495.19,0.477,0.223,0.9789,8,0,500211.83,0.951
2026-02,HPA-012,2,34433,1097966.73,29737.46,36963.2,89722.78,0.459,0.236,0.9807,0,0,248711.77,0.935
2026-03,HPA-012,4,65483,1129588.29,75082.52,67814.23,106042.75,0.456,0.225,0.9913,2,0,406437.02,0.93
2026-04,HPA-012,2,53695,1149059.36,35621.16,21955.0,87318.3,0.472,0.207,0.9837,11,0,439478.45,0.924
2026-05,HPA-012,2,21263,1154374.97,34931.11,17556.83,124015.21,0.464,0.235,0.972,12,0,240095.65,0.949
2025-06,HPA-013,39,732082,15477840.81,682482.34,377419.87,115382.77,0.742,0.123,0.9729,13,0,5363668.31,0.923
2025-07,HPA-013,42,970748,15971087.7,1253085.54,559745.42,127687.38,0.712,0.08,0.9842,11,0,7987284.81,0.945
2025-08,HPA-013,42,334185,17090569.07,1108466.23,421728.64,179523.92,0.723,0.121,0.9871,5,0,3476508.28,0.929
2025-09,HPA-013,41,351532,17350368.37,1118861.0,558451.89,175237.22,0.72,0.117,0.9804,14,0,7541147.18,0.96
2025-10,HPA-013,43,829736,17800854.19,1465442.65,356437.32,179805.6,0.759,0.101,0.994,2,0,6281641.3,0.942
2025-11,HPA-013,46,776882,18223535.1,1122504.3,376929.08,187591.68,0.76,0.138,0.9792,10,0,5324977.34,0.939
2025-12,HPA-013,45,551974,18753283.31,1353278.15,685336.27,175559.64,0.716,0.146,0.9954,7,0,7039148.92,0.955
2026-01,HPA-013,44,664880,18957030.57,1385587.71,394179.85,116159.69,0.743,0.132,0.9936,2,0,9664332.11,0.975
2026-02,HPA-013,47,785991,18864017.26,685227.54,722966.04,146356.75,0.722,0.131,0.9825,16,0,7574293.5,0.93
2026-03,HPA-013,48,495713,19538817.52,1257431.8,742091.23,143163.33,0.707,0.098,0.9907,9,0,9741093.05,0.933
2026-04,HPA-013,50,1249930,19430752.38,736710.69,350786.26,130198.28,0.715,0.103,0.9928,7,0,9660881.2,0.936
2026-05,HPA-013,51,812156,19926982.78,1875136.17,489922.33,117726.14,0.704,0.155,0.9724,6,0,9018742.17,0.971
2025-06,HPA-014,19,208120,7119978.25,520129.36,124736.77,141327.05,0.664,0.169,0.9882,11,1,1448866.94,0.962
2025-07,HPA-014,23,201824,7228956.67,392961.04,320135.94,240327.95,0.711,0.139,0.994,0,0,3400056.04,0.984
2025-08,HPA-014,19,362691,7590076.64,445058.22,207114.31,140151.23,0.689,0.114,0.9806,12,0,3698983.13,0.991
2025-09,HPA-014,25,315327,7993543.06,884256.75,229676.19,224662.04,0.719,0.142,0.9801,12,0,3416347.57,0.995
2025-10,HPA-014,23,419882,8369213.95,870668.57,178592.33,219294.4,0.719,0.127,0.9875,6,0,2268520.29,0.976
2025-11,HPA-014,24,568734,8699089.18,764016.9,158788.93,154752.49,0.694,0.105,0.9817,12,0,4124595.61,0.999
2025-12,HPA-014,25,426947,8965663.58,484670.14,413330.01,206053.53,0.678,0.155,0.9874,9,0,1843292.07,0.975
2026-01,HPA-014,25,414999,9141738.34,868849.79,171213.73,214203.45,0.692,0.101,0.9731,13,0,3857231.33,1.012
2026-02,HPA-014,27,294151,9384422.48,795755.22,352245.9,133493.79,0.703,0.116,0.9894,1,0,2345451.61,0.983
2026-03,HPA-014,29,371745,9699595.95,728853.83,404084.06,198127.19,0.687,0.131,0.9926,10,0,3780037.46,0.989
2026-04,HPA-014,26,255100,9881756.19,372683.88,422932.57,188377.35,0.678,0.12,0.974,12,0,1869874.3,0.997
2026-05,HPA-014,32,518395,10081632.07,842515.69,584254.95,208629.52,0.685,0.117,0.9956,15,0,2163423.43,0.993
2025-06,HPA-015,7,65450,3283538.66,230917.91,109009.05,200641.7,0.499,0.216,0.983,5,0,943529.39,0.906
2025-07,HPA-015,10,99517,3527003.76,122523.36,182715.91,260548.57,0.487,0.225,0.9894,14,0,1238137.5,0.922
2025-08,HPA-015,11,122035,3604917.7,345304.17,119629.83,264036.36,0.47,0.197,0.9935,10,0,1793707.74,0.923
2025-09,HPA-015,11,204063,3649435.9,128092.23,102133.52,157481.65,0.497,0.222,0.9938,3,0,1559488.28,0.93
2025-10,HPA-015,9,155148,3865789.73,338669.65,63039.75,155888.97,0.491,0.154,0.9796,11,0,1113011.42,0.902
2025-11,HPA-015,7,175245,3872742.51,238729.25,123666.42,152380.75,0.525,0.19,0.994,4,0,1286443.11,0.947
2025-12,HPA-015,9,201591,4016740.72,301458.18,124066.34,269904.62,0.476,0.159,0.989,1,0,1433958.19,0.943
2026-01,HPA-015,10,151940,4018050.43,175600.82,118605.85,254003.93,0.495,0.207,0.9898,10,0,1894580.96,0.941
2026-02,HPA-015,9,164237,4191189.06,101528.08,95584.05,176809.67,0.503,0.174,0.9942,7,0,1909591.59,0.903
2026-03,HPA-015,7,129069,4224005.48,228369.11,107040.82,191559.52,0.474,0.17,0.9742,8,0,1693623.87,0.946
2026-04,HPA-015,10,192957,4352948.87,201716.51,181091.03,237139.03,0.485,0.166,0.9762,9,1,1553185.11,0.906
2026-05,HPA-015,13,209743,4327167.07,233558.21,90522.68,215343.36,0.5,0.199,0.991,4,0,2073921.64,0.924
2025-06,HPA-016,14,227052,3025806.22,453617.55,162589.3,195321.7,0.652,0.118,0.9764,5,0,1234028.79,0.979
2025-07,HPA-016,13,241513,3172244.87,449731.83,149269.87,238218.47,0.651,0.151,0.9927,5,0,1647222.08,0.976
2025-08,HPA-016,16,206912,3345481.03,463019.93,143076.26,167518.03,0.64,0.146,0.9784,4,0,1123895.13,0.951
2025-09,HPA-016,13,338358,3473627.15,221784.41,102007.29,137883.06,0.66,0.11,0.9759,8,0,1586041.06,0.979
2025-10,HPA-016,15,183332,3625916.24,433044.43,218063.35,195024.0,0.622,0.17,0.9856,4,1,1754453.1,0.971
2025-11,HPA-016,16,310942,3813301.84,327410.42,188618.14,217782.14,0.649,0.158,0.9859,13,0,1233290.12,0.934
2025-12,HPA-016,19,231404,3921201.72,704354.12,322832.17,232580.7,0.639,0.116,0.9714,9,0,1785789.98,0.97
2026-01,HPA-016,16,374054,4011135.45,356825.88,192513.94,154535.89,0.658,0.114,0.9719,10,0,1189680.98,0.944
2026-02,HPA-016,21,284466,4108003.4,645822.76,214423.04,137679.27,0.624,0.136,0.9784,11,0,1465827.29,0.956
2026-03,HPA-016,16,278395,4223825.22,485386.62,257157.54,226707.63,0.61,0.169,0.9763,7,0,1364273.98,0.963
2026-04,HPA-016,19,388191,4299272.6,467421.73,132306.62,143350.52,0.633,0.146,0.9899,12,0,1694746.59,0.978
2026-05,HPA-016,22,418220,4428973.47,708968.96,171411.0,157775.07,0.632,0.176,0.9946,9,0,1302517.73,0.947
